CountryCode,Ranking,Economy,millions of,
USA,1,United States,US dollars,
CHN,2,China,,
JPN,3,Japan,"16,244,600",
DEU,4,Germany,"8,227,103",
FRA,5,France,"5,959,718",
GBR,6,United Kingdom,"3,428,131",
BRA,7,Brazil,"2,612,878",
RUS,8,Russian Federation,"2,471,784",
ITA,9,Italy,"2,252,664",
IND,10,India,"2,014,775",
CAN,11,Canada,"2,014,670",
AUS,12,Australia,"1,841,710",
ESP,13,Spain,"1,821,424",
MEX,14,Mexico,"1,532,408",
KOR,15,"Korea, Rep.","1,322,965",
IDN,16,Indonesia,"1,178,126",
TUR,17,Turkey,"1,129,598",
NLD,18,Netherlands,"878,043",
SAU,19,Saudi Arabia,"789,257",
CHE,20,Switzerland,"770,555",
SWE,21,Sweden,"711,050",
IRN,22,"Iran, Islamic Rep.","631,173",
NOR,23,Norway,"523,806",
POL,24,Poland,"514,060",
BEL,25,Belgium,"499,667",
ARG,26,Argentina,"489,795",
AUT,27,Austria,"483,262",
ZAF,28,South Africa,"475,502",
VEN,29,"Venezuela, RB","394,708",
COL,30,Colombia,"384,313",
THA,31,Thailand,"381,286",
ARE,32,United Arab Emirates,"369,606",
DNK,33,Denmark,"365,966",
MYS,34,Malaysia,"348,595",
SGP,35,Singapore,"314,887",
CHL,36,Chile,"305,033",
HKG,37,"Hong Kong SAR, China","274,701",
EGY,38,"Egypt, Arab Rep.","269,869",
NGA,39,Nigeria,"263,259",
ISR,40,Israel,"262,832",
PHL,41,Philippines,"262,597",
GRC,42,Greece,"258,217",
FIN,43,Finland,"250,182",
PAK,44,Pakistan,"249,099",
PRT,45,Portugal,"247,546",
IRL,46,Ireland,"225,143",
IRQ,47,Iraq,"212,274",
DZA,48,Algeria,"210,771",
PER,49,Peru,"210,280",
KAZ,50,Kazakhstan,"205,789",
CZE,51,Czech Republic,"203,790",
ROM,52,Romania,"203,521",
UKR,53,Ukraine,"196,446",
QAT,54,Qatar,"192,711",
NZL,55,New Zealand,"176,309",
KWT,56,Kuwait,"171,476",
VNM,57,Vietnam,"167,347",
HUN,58,Hungary,"160,913",
BGD,59,Bangladesh,"155,820",
AGO,60,Angola,"124,600",
PRI,61,Puerto Rico,"116,355",
MAR,62,Morocco,"114,147",
SVK,63,Slovak Republic,"101,496",
ECU,64,Ecuador,"95,982",
SYR,65,Syrian Arab Republic,"91,149",
OMN,66,Oman,"84,040",a
CUB,67,Cuba,"73,672",
AZE,68,Azerbaijan,"69,972",
BLR,69,Belarus,"68,234",
LKA,70,Sri Lanka,"66,605",
HRV,71,Croatia,"63,267",
DOM,72,Dominican Republic,"59,423",
SDN,73,Sudan,"59,228",
LUX,74,Luxembourg,"59,047",
UZB,75,Uzbekistan,"58,769",
BGR,76,Bulgaria,"55,178",
GTM,77,Guatemala,"51,113",b
URY,78,Uruguay,"50,972",
TUN,79,Tunisia,"50,234",
SVN,80,Slovenia,"49,920",
CRI,81,Costa Rica,"45,662",
MAC,82,"Macao SAR, China","45,279",
LBN,83,Lebanon,"45,104",
LTU,84,Lithuania,"43,582",
ETH,85,Ethiopia,"42,945",
GHA,86,Ghana,"42,344",
KEN,87,Kenya,"41,605",
SRB,88,Serbia,"40,711",
PAN,89,Panama,"40,697",
YEM,90,"Yemen, Rep.","37,489",
TKM,91,Turkmenistan,"36,253",
JOR,92,Jordan,"35,646",
BHR,93,Bahrain,"35,164",
LVA,94,Latvia,"31,015",
TZA,95,Tanzania,"29,044",
BOL,96,Bolivia,"28,373",
PRY,97,Paraguay,"28,242",
CMR,98,Cameroon,"27,035",
CIV,99,C?te d'Ivoire,"25,502",c
SLV,100,El Salvador,"25,322",
TTO,101,Trinidad and Tobago,"24,680",
CYP,102,Cyprus,"23,864",
EST,103,Estonia,"23,320",
ZMB,104,Zambia,"22,767",
AFG,105,Afghanistan,"22,390",
UGA,106,Uganda,"20,678",d
NPL,107,Nepal,"20,497",
HND,108,Honduras,"19,881",
GAB,109,Gabon,"18,963",
GNQ,110,Equatorial Guinea,"18,434",
BIH,111,Bosnia and Herzegovina,"18,377",
ZAR,112,"Congo, Dem. Rep.","17,697",
BRN,113,Brunei Darussalam,"17,466",
GEO,114,Georgia,"17,204",
PNG,115,Papua New Guinea,"16,954",
JAM,116,Jamaica,"15,747",
BWA,117,Botswana,"15,654",
MOZ,118,Mozambique,"14,755",e
SEN,119,Senegal,"14,504",
KHM,120,Cambodia,"14,244",
COG,121,"Congo, Rep.","14,046",
ISL,122,Iceland,"14,038",
NAM,123,Namibia,"13,678",
TCD,124,Chad,"13,579",
ALB,125,Albania,"13,072",
NIC,126,Nicaragua,"12,887",
MUS,127,Mauritius,"12,648",
BFA,128,Burkina Faso,"10,507",
MLI,129,Mali,"10,486",
MNG,130,Mongolia,"10,441",
SSD,131,South Sudan,"10,308",
MDG,132,Madagascar,"10,271",
ARM,133,Armenia,"10,220",
ZWE,134,Zimbabwe,"9,975",
MKD,135,"Macedonia, FYR","9,951",
LAO,136,Lao PDR,"9,802",
MLT,137,Malta,"9,613",
BHS,138,"Bahamas, The","9,418",
HTI,139,Haiti,"8,722",
BEN,140,Benin,"8,149",
MDA,141,Moldova,"7,843",
RWA,142,Rwanda,"7,557",
TJK,143,Tajikistan,"7,253",
NER,144,Niger,"7,103",
KGZ,145,Kyrgyz Republic,"6,972",f
KSV,146,Kosovo,"6,773",
MCO,147,Monaco,"6,475",
GIN,148,Guinea,"6,445",
BMU,149,Bermuda,"6,075",
SUR,150,Suriname,"5,632",
MNE,151,Montenegro,"5,474",
MWI,152,Malawi,"5,012",
BRB,153,Barbados,"4,373",
MRT,154,Mauritania,"4,264",
FJI,155,Fiji,"4,225",
TGO,156,Togo,"4,199",
SLE,157,Sierra Leone,"3,908",
SWZ,158,Swaziland,"3,814",
ERI,159,Eritrea,"3,796",
GUY,160,Guyana,"3,744",
ABW,161,Aruba,"3,092",
BDI,162,Burundi,"2,851",
LSO,163,Lesotho,"2,584",
MDV,164,Maldives,"2,472",
CAF,165,Central African Republic,"2,448",
CPV,166,Cape Verde,"2,222",
BTN,167,Bhutan,"2,184",
LBR,168,Liberia,"1,827",
BLZ,169,Belize,"1,780",
TMP,170,Timor-Leste,"1,734",
LCA,171,St. Lucia,"1,493",
ATG,172,Antigua and Barbuda,"1,293",
SYC,173,Seychelles,"1,239",
SLB,174,Solomon Islands,"1,134",
GMB,175,"Gambia, The","1,129",
GNB,176,Guinea-Bissau,"1,008",
VUT,177,Vanuatu,917,
GRD,178,Grenada,822,
KNA,178,St. Kitts and Nevis,787,
VCT,180,St. Vincent and the Grenadines,767,
WSM,181,Samoa,767,
COM,182,Comoros,713,
DMA,183,Dominica,684,
TON,184,Tonga,596,
FSM,185,"Micronesia, Fed. Sts.",480,
STP,186,S?o Tom? and Principe,472,
PLW,187,Palau,326,
MHL,188,Marshall Islands,263,
KIR,189,Kiribati,228,
TUV,190,Tuvalu,182,
,,,175,
ASM,,American Samoa,40,
ADO,,Andorra,,
CYM,,Cayman Islands,..,
CHI,,Channel Islands,..,
CUW,,Cura?ao,..,
DJI,,Djibouti,..,
FRO,,Faeroe Islands,..,
PYF,,French Polynesia,,
GRL,,Greenland,..,
GUM,,Guam,..,
IMY,,Isle of Man,..,
PRK,,"Korea, Dem. Rep.",..,
LBY,,Libya,..,
LIE,,Liechtenstein,..,
MMR,,Myanmar,..,
NCL,,New Caledonia,..,
MNP,,Northern Mariana Islands,..,
SMR,,San Marino,..,
SXM,,Sint Maarten (Dutch part),..,
SOM,,Somalia,..,
MAF,,St. Martin (French part),..,
TCA,,Turks and Caicos Islands,..,
VIR,,Virgin Islands (U.S.),..,
WBG,,West Bank and Gaza,..,
,,,..,
WLD,,World,..,
,,,,
LIC,,Low income,"72,440,449",
MIC,,Middle income,,
LMC,,  Lower middle income,"504,431",
UMC,,  Upper middle income,"22,249,909",
LMY,,Low & middle income,"4,823,811",
EAP,,  East Asia & Pacific,"17,426,690",
ECA,,  Europe & Central Asia,"22,769,282",
LAC,,  Latin America & Caribbean,"10,329,684",
MNA,,  Middle East & North Africa,"1,887,950",
SAS,,  South Asia,"5,344,028",
SSA,,  Sub-Saharan Africa,"1,540,807",
HIC,,High income,"2,286,093",
EMU,,  Euro area,"1,289,813",
,,,"49,717,634",
